#,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,OPS+,wRAA:공격공헌도 Woba scale은 1.15임,wRC:득점창출력,BB/K
1,로하스,KT,142,628,550,192,47,116,135,65,132,0,0.383,0.349,0.417,0.68,1.097,0.457,8.76,137.9970311,68.52954435,150.9738083,0.492424242
2,양의지,NC,130,528,461,151,33,86,124,46,47,5,0.305,0.328,0.4,0.603,1.003,0.423,6.92,132.1785799,61.33982609,130.6560225,0.978723404
3,김하성,Hero,138,622,533,163,30,111,109,75,68,23,0.304,0.306,0.397,0.523,0.92,0.401,6.81,130.9470725,60.36104348,142.0176234,1.102941176
4,최형우,KIA,140,600,522,185,28,93,115,70,101,0,0.396,0.354,0.433,0.59,1.023,0.441,6.74,142.9723864,79.09565217,157.8640572,0.693069307
5,터커,KIA,142,631,542,166,32,100,113,76,67,0,0.3,0.306,0.398,0.557,0.955,0.412,6.1,131.3801808,67.27008696,150.108193,1.134328358
6,나성범,NC,130,583,525,170,34,115,112,48,148,3,0.395,0.324,0.389,0.596,0.985,0.421,5.64,128.5457081,66.71547826,143.2521119,0.324324324
7,최정,SK,133,553,452,122,33,90,96,75,98,8,0.272,0.27,0.392,0.538,0.93,0.403,5.57,129.3518147,54.62678261,127.2249959,0.765306122
8,이정후,Hero,140,617,544,181,15,85,101,59,47,12,0.339,0.333,0.397,0.524,0.921,0.4,5.54,130.9501552,59.33930435,140.3394809,1.255319149
9,손아섭,롯데,141,611,540,190,11,98,85,61,56,5,0.373,0.352,0.415,0.493,0.908,0.402,5.44,136.7639835,59.82486957,140.0373621,1.089285714
10,강백호,KT,129,574,500,165,23,95,89,66,93,7,0.367,0.33,0.411,0.544,0.955,0.413,5.17,135.6079992,61.69252174,137.0476293,0.709677419
11,황재균,KT,134,600,541,169,21,108,97,47,98,11,0.347,0.312,0.37,0.512,0.882,0.385,5.02,122.0490797,49.87826087,128.6466659,0.479591837
12,로맥,SK,139,586,485,137,32,85,91,91,116,4,0.308,0.282,0.399,0.546,0.945,0.407,4.94,131.6745715,59.92486957,136.8553452,0.784482759
13,김현수,LG,142,619,547,181,22,98,119,63,53,0,0.332,0.331,0.397,0.523,0.92,0.398,4.87,130.9470725,58.45513043,139.7178683,1.188679245
14,박석민,NC,123,448,356,109,14,58,63,75,62,0,0.335,0.306,0.436,0.466,0.902,0.408,4.82,143.5750405,46.20243478,105.0161772,1.209677419
15,박민우,NC,126,530,467,161,8,82,63,36,48,13,0.364,0.345,0.402,0.478,0.88,0.391,4.72,132.449852,46.82434783,116.4031056,0.75
16,페르난데스,두산,144,668,586,199,21,104,105,58,42,0,0.333,0.34,0.404,0.497,0.901,0.397,4.58,133.1650204,62.50156522,150.1970562,1.380952381
17,알테어,NC,136,546,482,134,31,90,108,46,149,22,0.334,0.278,0.352,0.541,0.893,0.379,4.5,116.2290862,42.54052174,114.2197704,0.308724832
18,오지환,LG,141,591,527,158,10,95,71,45,116,20,0.365,0.3,0.362,0.461,0.823,0.365,4.19,119.2654712,38.85182609,116.4387051,0.387931034
